iter	Poisson
0	0.7008485875
1	0.4073741666
2	0.1195121337
3	-0.1628680222
4	-0.439837556
5	-0.7114386397
6	-0.977783685
7	-1.23892688
8	-1.495024919
9	-1.746003816
10	-1.992045289
11	-2.233185914
12	-2.469506258
13	-2.701158669
14	-2.92817347
15	-3.150583611
16	-3.368435207
17	-3.581821337
18	-3.790838059
19	-3.995532949
20	-4.195997946
21	-4.392308041
22	-4.584512626
23	-4.772670598
24	-4.956876103
25	-5.137190916
26	-5.313730305
27	-5.48647006
28	-5.655515878
29	-5.820958309
30	-5.9828081
31	-6.141133095
32	-6.296013137
33	-6.447466206
34	-6.595627584
35	-6.740504854
36	-6.882189737
37	-7.020734715
38	-7.156183017
39	-7.288585868
40	-7.418024394
41	-7.544548641
42	-7.668209168
43	-7.789041387
44	-7.90713657
45	-8.02254831
46	-8.135282227
47	-8.245433348
48	-8.353034002
49	-8.458140229
50	-8.560795559
51	-8.66107482
52	-8.758997713
53	-8.854635664
54	-8.948001066
55	-9.039179514
56	-9.128230431
57	-9.215140238
58	-9.29997904
59	-9.382744916
60	-9.463536323
61	-9.542398467
62	-9.619333547
63	-9.694405278
64	-9.767700665
65	-9.83917999
66	-9.908888073
67	-9.97692438
68	-10.04326099
69	-10.1079945
70	-10.17110587
71	-10.23263455
72	-10.29264969
73	-10.3511681
74	-10.40824093
75	-10.46385531
76	-10.51808698
77	-10.57098097
78	-10.62256545
79	-10.67282415
80	-10.72185996
81	-10.76964222
82	-10.81620456
83	-10.8615784
84	-10.90578573
85	-10.94886293
86	-10.99081272
87	-11.03170685
88	-11.07153385
89	-11.11036753
90	-11.14812633
91	-11.18493049
92	-11.22076711
93	-11.25568584
94	-11.28969668
95	-11.32283923
96	-11.35508481
97	-11.38650372
98	-11.41710681
99	-11.44687097
100	-11.47583881
101	-11.50406871
102	-11.53154593
103	-11.5582678
104	-11.58432785
105	-11.60966082
106	-11.63435853
107	-11.6583883
108	-11.68175297
109	-11.70449381
110	-11.72665239
111	-11.74822118
112	-11.76917504
113	-11.78960949
114	-11.80948132
115	-11.82881274
116	-11.84763507
117	-11.8659453
118	-11.88374871
119	-11.90106384
120	-11.91792879
121	-11.93432057
122	-11.95027791
123	-11.96584821
124	-11.98095907
125	-11.99560303
126	-12.00985167
127	-12.02371368
128	-12.0372393
129	-12.05040427
130	-12.063206
131	-12.07564913
132	-12.0877058
133	-12.09943575
134	-12.11087115
135	-12.12195976
136	-12.13278402
137	-12.14331
138	-12.15354761
139	-12.16350046
140	-12.17319253
141	-12.18257201
142	-12.19170223
143	-12.20059657
144	-12.20925196
145	-12.21766527
146	-12.22585979
147	-12.23377901
148	-12.24148609
149	-12.24899597
150	-12.25630967
151	-12.26342111
152	-12.27031186
153	-12.27707571
154	-12.28357141
155	-12.28987559
156	-12.29607908
157	-12.302033
158	-12.30784162
159	-12.31350373
160	-12.31898066
161	-12.32432854
162	-12.32953978
163	-12.33460258
164	-12.33954293
165	-12.34429627
166	-12.34894466
167	-12.35341222
168	-12.35777522
169	-12.36201589
170	-12.36613274
171	-12.37013777
172	-12.37402363
173	-12.37782607
174	-12.38154312
175	-12.38512374
176	-12.38859821
177	-12.39198957
178	-12.39529784
179	-12.39853041
180	-12.40159751
181	-12.40458919
182	-12.40748633
183	-12.41035467
184	-12.41312058
185	-12.41582682
186	-12.41840085
187	-12.42094166
188	-12.4234177
189	-12.42586904
190	-12.42820709
191	-12.43045872
192	-12.43268521
193	-12.43483452
194	-12.43689679
195	-12.43892871
196	-12.44087925
197	-12.44278507
198	-12.44467141
199	-12.4465008
200	-12.44824606
201	-12.44994112
202	-12.45159007
203	-12.45320513
204	-12.45478291
205	-12.45626417
206	-12.45774336
207	-12.45934815
208	-12.46089852
209	-12.46238773
210	-12.46386765
211	-12.46530069
212	-12.46668592
213	-12.46801122
214	-12.46932454
215	-12.4706086
216	-12.4718526
217	-12.47305137
218	-12.47410492
219	-12.47522429
220	-12.47627511
221	-12.47734799
222	-12.47843177
223	-12.47945916
224	-12.48044059
225	-12.48140597
226	-12.48234881
227	-12.48316512
228	-12.48404308
229	-12.48489634
230	-12.48571697
231	-12.48646627
232	-12.48721574
233	-12.48798951
234	-12.4886862
235	-12.48937666
236	-12.49005998
237	-12.49068007
238	-12.49135578
239	-12.49193185
240	-12.49257029
241	-12.49320734
242	-12.49377391
243	-12.49432472
244	-12.49490767
245	-12.49546671
246	-12.49598729
247	-12.49653477
248	-12.49706399
249	-12.49759522
250	-12.49804413
251	-12.49851046
252	-12.49893292
253	-12.49933002
254	-12.49973259
255	-12.5001884
256	-12.50060911
257	-12.50107523
258	-12.50148878
259	-12.50190279
260	-12.50227526
261	-12.50265434
262	-12.50297099
263	-12.50332321
264	-12.50363415
265	-12.50397296
266	-12.50430063
267	-12.50460872
268	-12.50489794
269	-12.50519186
270	-12.50544985
271	-12.50577218
272	-12.50607981
273	-12.50634755
274	-12.50660374
275	-12.50685435
276	-12.50710599
277	-12.50735352
278	-12.50757788
279	-12.50780975
280	-12.50803778
281	-12.50828813
282	-12.50855576
283	-12.50879624
284	-12.50905625
285	-12.50925241
286	-12.50947906
287	-12.50966672
288	-12.50986383
289	-12.51008405
290	-12.51028188
291	-12.51048224
292	-12.51064765
293	-12.51082413
294	-12.51100157
295	-12.51118316
296	-12.51137025
297	-12.51153437
298	-12.51166295
299	-12.5118132
