iter	Passed	Remaining
0	29	8786
1	60	9083
2	89	8878
3	125	9321
4	157	9319
5	192	9410
6	225	9434
7	259	9485
8	296	9581
9	332	9643
10	369	9695
11	404	9715
12	440	9714
13	475	9706
14	510	9697
15	545	9680
16	584	9732
17	621	9740
18	658	9735
19	693	9705
20	730	9710
21	767	9702
22	803	9671
23	838	9638
24	873	9606
25	908	9577
26	944	9551
27	979	9513
28	1014	9480
29	1049	9449
30	1083	9400
31	1118	9364
32	1155	9346
33	1190	9310
34	1225	9279
35	1261	9250
36	1296	9214
37	1328	9162
38	1362	9117
39	1398	9089
40	1440	9100
41	1473	9052
42	1507	9010
43	1544	8985
44	1579	8948
45	1615	8923
46	1654	8905
47	1689	8869
48	1725	8837
49	1760	8802
50	1794	8762
51	1827	8714
52	1861	8677
53	1896	8637
54	1929	8594
55	1962	8552
56	1997	8516
57	2032	8480
58	2068	8449
59	2106	8425
60	2144	8403
61	2181	8375
62	2222	8359
63	2261	8338
64	2300	8318
65	2337	8287
66	2373	8253
67	2410	8223
68	2446	8190
69	2480	8151
70	2513	8106
71	2548	8070
72	2582	8029
73	2615	7988
74	2650	7951
75	2685	7914
76	2719	7876
77	2756	7846
78	2794	7818
79	2830	7784
80	2866	7750
81	2901	7713
82	2935	7673
83	2965	7626
84	2999	7587
85	3033	7548
86	3064	7503
87	3098	7464
88	3132	7427
89	3165	7385
90	3199	7348
91	3234	7312
92	3286	7314
93	3333	7305
94	3391	7318
95	3431	7292
96	3469	7261
97	3506	7226
98	3545	7198
99	3585	7170
100	3621	7135
101	3654	7094
102	3689	7055
103	3723	7017
104	3766	6994
105	3803	6960
106	3837	6920
107	3874	6888
108	3909	6849
109	3943	6811
110	3976	6770
111	4008	6728
112	4045	6694
113	4078	6654
114	4111	6614
115	4145	6574
116	4179	6537
117	4213	6499
118	4248	6462
119	4283	6424
120	4319	6390
121	4356	6355
122	4394	6324
123	4430	6288
124	4463	6248
125	4496	6209
126	4532	6173
127	4565	6135
128	4602	6100
129	4637	6064
130	4672	6028
131	4707	5991
132	4743	5956
133	4780	5921
134	4815	5885
135	4851	5850
136	4890	5819
137	4927	5784
138	4962	5747
139	4994	5707
140	5028	5670
141	5061	5631
142	5095	5594
143	5130	5557
144	5164	5520
145	5200	5485
146	5235	5449
147	5269	5412
148	5303	5374
149	5340	5340
150	5377	5306
151	5412	5270
152	5448	5234
153	5486	5201
154	5522	5166
155	5555	5128
156	5590	5092
157	5625	5055
158	5657	5016
159	5689	4977
160	5724	4942
161	5755	4903
162	5789	4866
163	5823	4829
164	5855	4790
165	5890	4755
166	5926	4719
167	5959	4682
168	5993	4645
169	6028	4609
170	6061	4572
171	6095	4536
172	6131	4500
173	6164	4463
174	6198	4427
175	6236	4393
176	6273	4359
177	6307	4323
178	6341	4286
179	6377	4251
180	6411	4215
181	6448	4180
182	6483	4145
183	6521	4111
184	6553	4073
185	6588	4038
186	6623	4002
187	6656	3965
188	6690	3929
189	6724	3893
190	6756	3855
191	6788	3818
192	6825	3784
193	6859	3747
194	6893	3712
195	6928	3676
196	6962	3640
197	6994	3603
198	7028	3567
199	7061	3530
200	7094	3494
201	7127	3457
202	7159	3421
203	7194	3385
204	7230	3350
205	7264	3314
206	7296	3277
207	7330	3242
208	7367	3207
209	7400	3171
210	7436	3136
211	7475	3102
212	7515	3069
213	7550	3034
214	7587	2999
215	7625	2965
216	7662	2930
217	7703	2897
218	7739	2862
219	7775	2827
220	7813	2792
221	7845	2756
222	7880	2721
223	7915	2685
224	7948	2649
225	7981	2613
226	8014	2577
227	8048	2541
228	8081	2505
229	8114	2469
230	8148	2433
231	8186	2399
232	8226	2365
233	8267	2331
234	8307	2297
235	8344	2262
236	8385	2229
237	8422	2194
238	8459	2159
239	8500	2125
240	8545	2092
241	8580	2056
242	8619	2021
243	8655	1986
244	8692	1951
245	8730	1916
246	8767	1881
247	8800	1845
248	8833	1809
249	8868	1773
250	8904	1738
251	8938	1702
252	8975	1667
253	9010	1631
254	9043	1595
255	9078	1560
256	9112	1524
257	9148	1489
258	9184	1453
259	9225	1419
260	9261	1383
261	9293	1347
262	9327	1312
263	9363	1276
264	9395	1240
265	9428	1205
266	9461	1169
267	9493	1133
268	9526	1097
269	9560	1062
270	9592	1026
271	9627	991
272	9663	955
273	9696	920
274	9730	884
275	9764	849
276	9799	813
277	9836	778
278	9877	743
279	9915	708
280	9953	673
281	9991	637
282	10027	602
283	10062	566
284	10097	531
285	10135	496
286	10175	460
287	10212	425
288	10248	390
289	10285	354
290	10322	319
291	10362	283
292	10401	248
293	10441	213
294	10481	177
295	10519	142
296	10557	106
297	10593	71
298	10628	35
299	10668	0
