match,date,ml_pred,actual,conf_old,conf_new,is_over_10.5
Manchester United vs Newcastle United,2025-12-26 20:00:00,12.42519169612325,13,0.6957169623228097,0.9069915538376985,True
Parma vs Fiorentina,2025-12-27 11:30:00,11.216170478875078,11,0.5656491952348606,0.780006334709102,True
Nottingham Forest vs Manchester City,2025-12-27 12:30:00,9.04175722912447,10,0.5,0.5,False
Torino vs Cagliari,2025-12-27 14:00:00,8.778837536703923,8,0.5,0.5,False
Lecce vs Como,2025-12-27 14:00:00,11.803175321203645,10,0.6318034001444108,0.8759269169937729,False
Arsenal vs Brighton & Hove Albion,2025-12-27 15:00:00,9.62760746505442,9,0.5,0.5,False
Brentford vs Bournemouth,2025-12-27 15:00:00,17.669795225159596,17,0.95,0.95,True
Burnley vs Everton,2025-12-27 15:00:00,11.450075639088475,11,0.5926139591110168,0.8345650218028756,True
Liverpool vs Wolverhampton,2025-12-27 15:00:00,10.536110743350317,10,0.5,0.5,False
West Ham United vs Fulham,2025-12-27 15:00:00,8.747092997918621,9,0.5,0.5,False
Udinese vs Lazio,2025-12-27 17:00:00,11.018698342900935,11,0.5423415623809694,0.7046960605203475,True
Chelsea vs Aston Villa,2025-12-27 17:30:00,14.636991142912493,13,0.8627965237979501,0.95,True
Pisa vs Juventus,2025-12-27 19:45:00,10.66019326921143,10,0.5,0.5,False
Milan vs Hellas Verona,2025-12-28 11:30:00,12.230221904986932,10,0.67643498890367,0.8996359079797273,False
Cremonese vs Napoli,2025-12-28 14:00:00,11.153070910081412,11,0.5582522575259452,0.7593002039924547,True
Sunderland vs Leeds United,2025-12-28 14:00:00,12.093955311288608,12,0.6625428879769293,0.8935795610104129,True
Crystal Palace vs Tottenham Hotspur,2025-12-28 16:30:00,3.1944704082757274,3,0.5,0.5,False
Bologna vs Sassuolo,2025-12-28 17:00:00,2.765471149775508,3,0.5,0.5,False
Atalanta vs Inter,2025-12-28 19:45:00,1.7235718645049538,0,0.5,0.5,False
Roma vs Genoa,2025-12-29 19:45:00,8.521815506482973,7,0.5,0.5,False
